Timestamp,Protocol,Src IP,Src Port,Dst IP,Dst Port,Size,GeoIP
20:35:04,UDP,192.168.2.13,53186,239.255.255.250,1900,375,N/A
20:35:04,UDP,172.217.1.10,443,192.168.2.19,63726,72,N/A
20:35:04,UDP,192.168.2.13,47356,239.255.255.250,1900,432,N/A
20:35:04,UDP,192.168.2.19,63726,172.217.1.10,443,75,N/A
20:35:04,UDP,192.168.2.19,63726,172.217.1.10,443,75,N/A
20:35:05,UDP,192.168.2.19,63726,172.217.1.10,443,592,N/A
20:35:05,UDP,192.168.2.19,63726,172.217.1.10,443,592,N/A
20:35:05,UDP,192.168.2.19,63726,172.217.1.10,443,341,N/A
20:35:05,UDP,192.168.2.19,63726,172.217.1.10,443,341,N/A
20:35:05,UDP,172.217.1.10,443,192.168.2.19,63726,72,N/A
20:35:05,UDP,192.168.2.19,63726,172.217.1.10,443,75,N/A
20:35:05,UDP,192.168.2.19,63726,172.217.1.10,443,75,N/A
20:35:05,UDP,192.168.2.13,38637,239.255.255.250,1900,420,N/A
20:35:05,UDP,172.217.1.10,443,192.168.2.19,63726,139,N/A
20:35:05,UDP,172.217.1.10,443,192.168.2.19,63726,63,N/A
20:35:05,UDP,192.168.2.19,63726,172.217.1.10,443,90,N/A
20:35:05,UDP,192.168.2.19,63726,172.217.1.10,443,90,N/A
20:35:05,UDP,172.217.1.10,443,192.168.2.19,63726,71,N/A
20:35:06,UDP,192.168.2.19,63726,172.217.1.10,443,74,N/A
20:35:06,UDP,192.168.2.19,63726,172.217.1.10,443,74,N/A
20:35:06,UDP,172.217.1.10,443,192.168.2.19,63726,1103,N/A
20:35:06,UDP,172.217.1.10,443,192.168.2.19,63726,64,N/A
20:35:06,UDP,192.168.2.19,63726,172.217.1.10,443,79,N/A
20:35:06,UDP,192.168.2.19,63726,172.217.1.10,443,79,N/A
20:35:06,UDP,172.217.1.10,443,192.168.2.19,63726,67,N/A
20:35:06,UDP,192.168.2.19,63726,172.217.1.10,443,74,N/A
20:35:06,UDP,192.168.2.19,63726,172.217.1.10,443,74,N/A
20:35:06,DNS,192.168.2.19,,192.168.2.1,,91,N/A
20:35:06,DNS,192.168.2.19,,192.168.2.1,,91,N/A
20:35:07,DNS,192.168.2.19,,192.168.2.1,,91,N/A
20:35:07,DNS,192.168.2.19,,192.168.2.1,,91,N/A
20:35:07,UDP,192.168.2.13,36395,239.255.255.250,1900,430,N/A
20:35:07,DNS,192.168.2.1,,192.168.2.19,,107,N/A
20:35:07,DNS,192.168.2.1,,192.168.2.19,,141,N/A
20:35:07,UDP,192.168.2.19,51846,172.217.1.10,443,1292,N/A
20:35:07,UDP,192.168.2.19,51846,172.217.1.10,443,1292,N/A
20:35:07,UDP,192.168.2.19,51846,172.217.1.10,443,1292,N/A
20:35:07,UDP,192.168.2.19,51846,172.217.1.10,443,1292,N/A
20:35:07,UDP,192.168.2.19,51846,172.217.1.10,443,123,N/A
20:35:07,UDP,192.168.2.19,51846,172.217.1.10,443,123,N/A
